Country,Number_of_Articles,Number of Open Access Articlesinfo,5-Year Cited Articlesinfo,5-Year Citationsinfo,,Country2,Date-pop,Population_1000,Taux_open,Pub_hab,rowid,Country3
Namibia,404,286,78575,139875,,Namibia,2022,2567.01,"0,707920792079208","0,15738154506605",160,Namibia
Nauru,1,1,594,499,,Nauru,2022,12.67,1,"0,078926598263615",173,Nauru
Nepal,4604,2968,358566,584167,,Nepal,2022,30547.58,"0,644656820156386","0,150715703175178",172,Nepal
Netherlands,45572,31482,39896188,32704285,,Netherlands,2022,17703.09,"0,690818923900641","2,57423986434007",170,Netherlands
New Caledonia,111,65,62438,92767,,New Caledonia,2022,276.78,"0,585585585585586","0,401040537611099",161,New Caledonia
New Zealand,10646,6377,7446322,7875545,,New Zealand,2022,5124.1,"0,599004320871689","2,07763314533284",174,New Zealand
Nicaragua,341,263,49939,53017,,Nicaragua,2022,6948.39,"0,771260997067449","0,049076116913415",165,Nicaragua
Niger,270,200,52149,67982,,Niger,2022,26207.98,"0,740740740740741","0,010302205664076",162,Niger
Nigeria,15121,8681,1421401,2903043,,Nigeria,2022,218541.21,"0,574102241915217","0,06919061169287",164,Nigeria
North Korea,10,0,611,2337,,"Korea Dem, People's Rep,",2022,26069.42,0,"0,000383591196122",185,North Korea
Norway,17121,12376,9990882,10632663,,Norway,2022,5457.13,"0,722854973424449","3,13736341263631",171,Norway
Oman,2334,1289,345671,734784,,Oman,2022,4576.3,"0,552270779777207","0,510019010991412",175,Oman
Pakistan,28192,16921,3115997,7150445,,Pakistan,2022,235824.86,"0,600205732122588","0,119546344689869",176,Pakistan
Palau,19,14,5455,9424,,Palau,2022,18.05,"0,736842105263158","1,05263157894737",181,Palau
Palestine,1344,863,151359,296235,,West Bank and Gaza,2022,5043.61,"0,642113095238095","0,266475798089067",190,Palestine
Panama,675,493,336365,281241,,Panama,2022,4408.58,"0,73037037037037","0,153110525384591",177,Panama
Papua New Guinea,130,92,61474,67769,,Papua New Guinea,2022,10142.62,"0,707692307692308","0,012817201078222",182,Papua New Guinea
Paraguay,784,629,60831,87566,,Paraguay,2022,6780.74,"0,802295918367347","0,115621598822547",189,Paraguay
Peru,6844,5198,604718,998754,,Peru,2022,34049.59,"0,759497369959088","0,201000951846997",179,Peru
Philippines,5343,3392,818768,1030406,,Philippines,2022,115559.01,"0,634849335579263","0,046236117806824",180,Philippines
Poland,37372,26731,8798022,16008790,,Poland,2022,37561.6,"0,715268115166435","0,994952291702164",183,Poland
Portugal,22086,15657,7104276,10974673,,Portugal,2022,10379.01,"0,708910622113556","2,12794861937699",188,Portugal
Qatar,3961,2642,760569,1497197,,Qatar,2022,2695.12,"0,667003281999495","1,46969337172371",192,Qatar
Romania,10906,8358,1785203,3777133,,Romania,2022,18956.67,"0,766367137355584","0,575312014188146",193,Romania
Russia,57315,27085,8945102,16770210,,Russian Federation,2022,143555.74,"0,472563901247492","0,399252583003647",194,Russia
Rwanda,843,619,89309,171623,,Rwanda,2022,13776.7,"0,734282325029656","0,061190270529227",195,Rwanda
Saint Kitts & Nevis,152,102,14633,39566,,"St, Kitts and Nevis",2022,47.66,"0,671052631578947","3,18925723877465",124,Saint Kitts
Saint Lucia,25,18,5671,5206,,"St, Lucia",2022,179.86,"0,72","0,13899699766485",132,Saint Lucia
Saint Vincent and the Grenadines,26,13,2086,3227,,"St, Vincent and the Grenadines",2022,103.95,"0,5","0,25012025012025",242,Saint Vincent
Samoa,67,40,11406,19185,,Samoa,2022,222.38,"0,597014925373134","0,301286086878316",248,Samoa
San Marino,35,20,8414,13857,,San Marino,2022,33.66,"0,571428571428571","1,03980986333928",112,San Marino
Sao Tome & Principe,19,15,6801,5031,,Sao Tome and Principe,2022,227.38,"0,789473684210526","0,083560559415956",212,Sao Tome and Principe
Saudi Arabia,37788,24521,4452002,9765370,,Saudi Arabia,2022,36408.82,"0,648909706785223","1,03788038173168",197,Saudi Arabia
Senegal,912,679,215198,262687,,Senegal,2022,17316.45,"0,744517543859649","0,052666683991234",200,Senegal
Serbia,6279,4066,1145512,2350856,,Serbia,2022,6760.09,"0,647555343207517","0,928833787715844",211,Serbia
Seychelles,39,28,17759,25341,,Seychelles,2022,100.06,"0,717948717948718","0,38976614031581",219,Seychelles
Sierra Leone,258,204,45834,56517,,Sierra Leone,2022,8605.72,"0,790697674418605","0,029980059774197",207,Sierra Leone
Singapore,15364,6408,9486102,9736693,,Singapore,2022,5637.02,"0,417078885706847","2,72555357263235",201,Singapore
Sint Maarten,51,31,1027,5331,,Sint Maarten (Dutch part),2022,43.39,"0,607843137254902","1,17538603364831",218,Sint Maarten
Slovakia,4564,3116,1328656,2188754,,Slovak Republic,2022,5431.75,"0,68273444347064","0,84024485663",214,Slovakia
Slovenia,4525,3355,1628206,2294087,,Slovenia,2022,2108.73,"0,741436464088398","2,1458413357803",215,Slovenia
Solomon Islands,31,27,11156,15999,,Solomon Islands,2022,724.27,"0,870967741935484","0,042801717591506",206,Solomon Islands
Somalia,281,211,8859,18419,,Somalia,2022,17597.51,"0,750889679715302","0,0159681682238",209,Somalia
South Africa,18305,12588,6039519,8560731,,South Africa,2022,59893.89,"0,687680961485933","0,305623829075053",250,South Africa
South Korea,63201,35665,22439593,31957587,,"Korea Rep,",2022,51628.12,"0,56431069128653","1,2241584624813",125,South Korea
South Sudan,55,42,2247,7178,,South Sudan,2022,10913.16,"0,763636363636364","0,005039786826181",199,South Sudan
Spain,76652,51855,34236069,43082759,,Spain,2022,47615.03,"0,676498982414027","1,60982782117327",67,Spain
Sri Lanka,2704,1758,43248,687232,,Sri Lanka,2022,22181,"0,650147928994083","0,121906135882061",134,Sri Lanka
Sudan,1236,911,180935,290015,,Sudan,2022,46874.2,"0,73705501618123","0,026368450021547",198,Sudan
Suriname,53,28,11813,18149,,Suriname,2022,618.04,"0,528301886792453","0,085754967316031",213,Suriname
